stock,time,price,shares
MT,09:30:00.10,17.61,500
MT,09:30:00.10,17.61,1000
IWM,09:30:00.10,115.11,200
IWM,09:30:00.10,115.11,214
IWM,09:30:00.10,115.1,115
IWM,09:30:00.10,115.11,100
IWM,09:30:00.10,115.11,86
IYR,09:30:00.10,63.13,100
IYR,09:30:00.10,63.14,80
IWM,09:30:00.10,115.1,200
IWM,09:30:00.10,115.1,202
IOC,09:30:00.10,51.39,100
IOC,09:30:00.10,51.2,2
IAG,09:30:00.10,3.42,100
SBGL,09:30:00.10,4.86,200
SID,09:30:00.10,6.06,800
SID,09:30:00.10,6.06,100
SBGL,09:30:00.10,4.86,500
FCCO,09:30:00.10,10.23,300
FCCO,09:30:00.10,10.23,300
FOXA,09:30:00.10,35.4,179
FB,09:30:00.10,54.82,169
FOXA,09:30:00.10,35.39,200
EWH,09:30:00.10,20.56,100
EWH,09:30:00.10,20.56,232
EWP,09:30:00.10,37.62,168
FNV,09:30:00.10,40.98,100
MKSI,09:30:00.10,29.85,446
SPY,09:30:00.10,183.99,6500
SPY,09:30:00.10,183.94,200
JNJ,09:30:00.10,91.14,164
JNJ,09:30:00.10,91.14,88
KR,09:30:00.10,39.22,1000
KFN,09:30:00.10,12.12,100
KORS,09:30:00.10,80.99,100
KORS,09:30:00.10,81,100
KORS,09:30:00.10,80.94,100
KGC,09:30:00.10,4.45,100
KGC,09:30:00.10,4.45,100
KGC,09:30:00.10,4.45,100
KGC,09:30:00.10,4.45,100
KORS,09:30:00.10,80.94,85
ASIA,09:30:00.10,11.94,400
ASIA,09:30:00.10,11.94,100
SPY,09:30:00.10,183.94,100
SPY,09:30:00.10,183.99,200
SPY,09:30:00.10,183.975,400
SPY,09:30:00.10,183.975,4000
SPY,09:30:00.10,183.98,4000
SPXL,09:30:00.10,63.1,300
SPY,09:30:00.10,183.93,1000
SPY,09:30:00.10,183.94,363
SPY,09:30:00.10,183.94,800
SPY,09:30:00.10,183.94,500
SPY,09:30:00.10,183.94,400
SPY,09:30:00.10,183.94,400
SPY,09:30:00.10,183.94,537
SPXU,09:30:00.10,15.26,1300
VWO,09:30:00.10,40.51,500
VWO,09:30:00.10,40.51,100
VWO,09:30:00.10,40.51,300
TV,09:30:00.10,29.9,200
TV,09:30:00.10,29.9,100
TMO,09:30:00.10,110.65,100
TMUS,09:30:00.10,33.05,200
TMO,09:30:00.10,110.69,100
TMO,09:30:00.10,110.61,2
TMUS,09:30:00.10,33.05,30
TJX,09:30:00.10,63.36,100
TJX,09:30:00.10,63.36,100
TV,09:30:00.10,29.92,400
TV,09:30:00.10,29.91,200
TNA,09:30:00.10,76.85,100
TNA,09:30:00.10,76.85,200
TNA,09:30:00.10,76.86,100
CIG,09:30:00.10,7.62,300
CIG,09:30:00.10,7.62,500
CF,09:30:00.10,232.98,2
BSBR,09:30:00.10,5.89,500
BSBR,09:30:00.10,5.88,300
BX,09:30:00.10,31.5,100
INTU,09:30:00.10,76.11,100
INTU,09:30:00.10,76.11,61
DIA,09:30:00.10,164.78,200
DDM,09:30:00.10,114.26,50
DDD,09:30:00.10,93.31,100
DDD,09:30:00.10,93.31,100
DDD,09:30:00.10,93.31,34
DDD,09:30:00.10,93.34,10
DIS,09:30:00.10,76.04,200
DIS,09:30:00.10,76.04,200
DIS,09:30:00.10,76.03,200
DIS,09:30:00.10,76.01,100
DDD,09:30:00.10,93.31,100
MT,09:30:00.10,17.61,1000
MT,09:30:00.10,17.61,500
PRU,09:30:00.10,91.5,2
PRGO,09:30:00.10,152.25,100
AGG,09:30:00.10,106.44,55
ALLE,09:30:00.10,44.08,7455
AEM,09:30:00.10,27.04,150
ALB,09:30:00.10,63.38,2349
IWM,09:30:00.10,115.1,1000
IVV,09:30:00.10,185.02,200
IVV,09:30:00.10,185.02,100
IVV,09:30:00.10,185.03,2
ITA,09:30:00.10,105.62,50
IGE,09:30:00.10,43.16,560
BND,09:30:00.10,80.1,74
BBH,09:30:00.10,87.97,100
BLOX,09:30:00.10,33.14,100
BBT,09:30:00.10,37.1,100
BAC,09:30:00.10,15.68,100
BAC,09:30:00.10,15.69,200
BHP,09:30:00.10,67.35,100
BAC,09:30:00.10,15.68,100
ORCL,09:30:00.10,37.76,600
OPK,09:30:00.10,8.31,1000
NEM,09:30:00.10,23.5,100
OCR,09:30:00.10,60.5,1
GG,09:30:00.10,22.15,2000
GFI,09:30:00.10,3.24,1200
STX,09:30:00.10,55.41,5
SYMC,09:30:00.10,23.44,27
QQQ,09:30:00.10,87.55,100
QQQ,09:30:00.10,87.55,800
ROIC,09:30:00.10,14.29,100
QQQ,09:30:00.10,87.55,226
TQQQ,09:30:00.10,122.41,100
TQQQ,09:30:00.10,122.39,200
TQQQ,09:30:00.10,122.41,8
R,09:30:00.10,73.13,100
RJF,09:30:00.10,52.23,300
DDD,09:30:00.10,93.28,44
SPY,09:30:00.13,183.93,200
SPY,09:30:00.13,183.97,100
SPXL,09:30:00.13,63.06,50
SPY,09:30:00.13,183.93,200
SPY,09:30:00.13,183.975,400
SPY,09:30:00.13,183.97,100
SPY,09:30:00.13,183.93,400
SPY,09:30:00.13,183.93,100
SPY,09:30:00.13,183.92,100
SPXS,09:30:00.13,33.61,100
SPXU,09:30:00.13,15.26,100
SPY,09:30:00.13,183.96,300
SLV,09:30:00.13,19.35,1400
SPY,09:30:00.13,183.91,300
SPY,09:30:00.13,183.96,200
SPY,09:30:00.13,183.92,100
SPY,09:30:00.13,183.92,100
FSLR,09:30:00.13,54.34,300
FOXA,09:30:00.13,35.51,50
FSLR,09:30:00.13,54.28,250
FB,09:30:00.13,54.8,100
VHI,09:30:00.13,17.43,2
VCI,09:30:00.13,34.2,100
VCI,09:30:00.13,34.2,100
VCI,09:30:00.13,34.2,800
VCI,09:30:00.13,34.2,100
VCI,09:30:00.13,34.2,585
VCI,09:30:00.13,34.09,15
MMM,09:30:00.13,137.93,129
MMM,09:30:00.13,137.93,71
MMM,09:30:00.13,137.93,108
PBCT,09:30:00.13,15.07,100
TEVA,09:30:00.13,40.03,200
TEVA,09:30:00.13,40.03,200
TEVA,09:30:00.13,40.03,200
TEVA,09:30:00.13,40.03,200
SIVR,09:30:00.13,19.84,100
SIVR,09:30:00.13,19.84,500
SDS,09:30:00.13,29.89,1500
SDS,09:30:00.13,29.91,100
SDS,09:30:00.13,29.9,100
SDS,09:30:00.13,29.9,3
SDS,09:30:00.13,29.91,100
SDS,09:30:00.13,29.885,100
SPG,09:30:00.13,152.55,2
MVV,09:30:00.13,126.15,500
MVV,09:30:00.13,126.17,200
MVV,09:30:00.13,126.17,100
MT,09:30:00.13,17.61,1000
MT,09:30:00.13,17.61,800
CNQ,09:30:00.13,33.45,400
CNQ,09:30:00.13,33.44,200
CNQ,09:30:00.13,33.45,200
CNQ,09:30:00.13,33.45,200
CMRE,09:30:00.13,18.11,100
CEF,09:30:00.13,13.51,200
CEF,09:30:00.13,13.51,300
BTG,09:30:00.13,2.1,100
BTG,09:30:00.13,2.1,100
VCI,09:30:00.13,34.2,100
VCI,09:30:00.13,34.2,100
VCI,09:30:00.13,34.2,15
VCI,09:30:00.13,34.2,15
VCI,09:30:00.13,34.2,100
VCI,09:30:00.13,34.2,64
VCI,09:30:00.13,34.2,36
XLNX,09:30:00.13,46.61,109
XLNX,09:30:00.13,46.6,152
XLNX,09:30:00.13,46.6,39
XLNX,09:30:00.13,46.6,200
XLNX,09:30:00.13,46.6,100
XLE,09:30:00.13,87.99,15
OCR,09:30:00.13,60.44,1
X,09:30:00.13,29.97,100
WMB,09:30:00.13,38.35,3
WMB,09:30:00.13,38.35,97
WFC,09:30:00.13,45.16,3
EEM,09:30:00.13,41,299
EEM,09:30:00.13,41,497
EMC,09:30:00.13,25.01,400
EMC,09:30:00.13,25.01,200
EMR,09:30:00.13,69.83,100
EMR,09:30:00.13,69.83,100
EMR,09:30:00.13,69.8,100
HLF,09:30:00.13,78.64,100
IAG,09:30:00.13,3.42,100
HLF,09:30:00.13,78.64,100
HLF,09:30:00.13,78.64,100
HP,09:30:00.13,83.95,1
HLF,09:30:00.13,78.65,100
HQH,09:30:00.13,26.79,1
HLF,09:30:00.13,78.65,100
HLF,09:30:00.13,78.64,100
HLF,09:30:00.13,78.65,100
HLF,09:30:00.13,78.64,100
HLF,09:30:00.13,78.64,100
HLF,09:30:00.13,78.64,100
HLF,09:30:00.13,78.64,100
GS,09:30:00.13,176.95,99
AVB,09:30:00.13,118.25,100
AVB,09:30:00.13,118.25,100
PRGO,09:30:00.13,152.24,100
PHG,09:30:00.13,36.6,500
PHG,09:30:00.13,36.6,500
PHG,09:30:00.13,36.6,500
PHG,09:30:00.13,36.6,1500
PHG,09:30:00.13,36.6,1000
PNC,09:30:00.13,76.16,100
PHG,09:30:00.13,36.6,500
PHG,09:30:00.13,36.6,500
PEP,09:30:00.13,82.92,100
PHG,09:30:00.13,36.6,100
PRGO,09:30:00.13,152.19,100
PNC,09:30:00.13,76.06,100
CMA,09:30:00.13,47.21,100
CMA,09:30:00.13,47.21,100
CMA,09:30:00.13,47.24,100
CMA,09:30:00.13,47.24,100
CCO,09:30:00.13,10.15,265
BRS,09:30:00.13,74.95,2014
BRP,09:30:00.13,24.27,5047
CDE,09:30:00.13,11.08,21447
CDI,09:30:00.13,18.51,150
BRP,09:30:00.13,24.25,55
BRO,09:30:00.13,31.19,9521
BHE,09:30:00.13,23.05,5159
BIG,09:30:00.13,32.3,3016
BPY,09:30:00.13,19.85,734
BBT.PR.E,09:30:00.13,20.35,892
BMR,09:30:00.13,18.09,17293
BF.B,09:30:00.13,75.55,6013
BGX,09:30:00.13,17.8,7410
BBT.PR.F,09:30:00.13,18.75,391
BGE.PR.B,09:30:00.13,24.37,100
BEP,09:30:00.13,26.35,1987
TQQQ,09:30:00.13,122.39,100
TQQQ,09:30:00.13,122.41,100
TQQQ,09:30:00.13,122.41,200
TQQQ,09:30:00.13,122.42,400
TQQQ,09:30:00.13,122.38,100
TQQQ,09:30:00.13,122.41,1000
TQQQ,09:30:00.13,122.42,200
TQQQ,09:30:00.13,122.34,100
TQQQ,09:30:00.13,122.4,400
TQQQ,09:30:00.13,122.41,100
GNTX,09:30:00.13,33.08,5
GOOG,09:30:00.13,1115.21,73
GNTX,09:30:00.13,33,100
MFI,09:30:00.13,8.61,518
MFI,09:30:00.13,8.61,518
MDLZ,09:30:00.13,35.04,28
CXDC,09:30:00.13,5.29,4647
CXDC,09:30:00.13,5.29,4647
BGG,09:30:00.13,21.61,12570
BPI,09:30:00.13,17.55,3408
BCEI,09:30:00.13,43.09,3396
BEP,09:30:00.13,26.33,17
BBT.PR.D,09:30:00.13,21.51,1222
BGCA,09:30:00.13,25.88,282
CENX,09:30:00.13,10.38,7725
CENX,09:30:00.13,10.38,7725
AEZS,09:30:00.13,1.4,400
BRP,09:30:00.13,24.25,10
CFX,09:30:00.13,63.48,1327
BYI,09:30:00.13,78.43,15790
CLS,09:30:00.13,10.35,500
BTH,09:30:00.13,10.94,1756
BURL,09:30:00.13,32,431
CI,09:30:00.13,86.99,23948
CAH,09:30:00.13,66.45,41208
CMA,09:30:00.13,47.21,100
QLD,09:30:00.13,98.72,100
QID,09:30:00.13,15.13,100
QID,09:30:00.13,15.13,100
QID,09:30:00.13,15.13,1000
QID,09:30:00.13,15.13,1700
UTX,09:30:00.13,112.9,100
VCI,09:30:00.13,34.2,35
VCI,09:30:00.13,34.2,100
VCI,09:30:00.13,34.2,15
USA,09:30:00.13,5.95,100
USA,09:30:00.13,5.95,100
VOO,09:30:00.13,168.52,100
VOO,09:30:00.13,168.5,100
VWO,09:30:00.13,40.51,400
MRO,09:30:00.13,35.25,100
MT,09:30:00.13,17.61,1000
SPY,09:30:00.13,183.91,400
SPY,09:30:00.13,183.93,200
SPY,09:30:00.13,183.93,200
SPY,09:30:00.13,183.94,100
SLV,09:30:00.13,19.36,250
SPY,09:30:00.13,183.94,300
SPY,09:30:00.13,183.94,200
SPY,09:30:00.13,183.94,200
SPY,09:30:00.13,183.93,300
SPY,09:30:00.13,183.93,100
SPY,09:30:00.13,183.93,400
SPY,09:30:00.13,183.925,700
SPY,09:30:00.13,183.925,300
SPY,09:30:00.13,183.92,400
SPY,09:30:00.13,183.93,800
SPXL,09:30:00.13,63.05,50
NWSA,09:30:00.13,18.06,282
OPK,09:30:00.13,8.31,900
ORCL,09:30:00.13,37.78,100
ORCL,09:30:00.13,37.79,100
OPK,09:30:00.13,8.31,100
SSO,09:30:00.13,101.7,100
SSO,09:30:00.13,101.7,400
SSO,09:30:00.13,101.7,100
SSO,09:30:00.13,101.7,100
SSO,09:30:00.13,101.69,100
EMR,09:30:00.13,69.85,100
EMR,09:30:00.13,69.84,100
EGY,09:30:00.13,6.89,5456
EMR,09:30:00.13,69.84,100
IVV,09:30:00.13,185.01,100
SBGL,09:30:00.13,4.86,200
SDRL,09:30:00.13,40.47,200
CMC,09:30:00.13,20.34,6443
C.PR.J,09:30:00.13,26,1219
C.PR.N,09:30:00.13,27.13,802
C.PR.Q,09:30:00.13,24.86,1600
CMU,09:30:00.13,4.17,15880
C.PR.S,09:30:00.13,25.04,191
CMRE,09:30:00.13,18.09,7241
CRL,09:30:00.13,52.62,1
CSU,09:30:00.13,23.9,852
IWM,09:30:00.13,115.09,201
IWM,09:30:00.13,115.1,100
IWM,09:30:00.13,115.08,201
IWM,09:30:00.13,115.09,59
BTN,09:30:00.13,4.67,1295
CCF,09:30:00.13,35.3,220
BTG,09:30:00.13,2.11,1350
BVX,09:30:00.13,2.15,325
BZC,09:30:00.13,9.24,100
CANF,09:30:00.13,6.03,3953
CCA,09:30:00.13,9.95,316
QID,09:30:00.13,15.13,700
QID,09:30:00.13,15.13,1000
QID,09:30:00.13,15.13,700
WPRT,09:30:00.13,19.48,20
WINA,09:30:00.13,92.66,161
WINA,09:30:00.13,92.66,161
OPK,09:30:00.13,8.31,1000
CANF,09:30:00.13,6.02,147
CET,09:30:00.13,21.65,1907
ADT,09:30:00.13,40.4,1745
AGN,09:30:00.13,110.8,17
AGN,09:30:00.13,110.82,83
AAP,09:30:00.13,110.36,6853
AGX,09:30:00.13,27.56,70
ABX,09:30:00.13,17.92,300
ABX,09:30:00.13,17.94,1000
ABX,09:30:00.13,17.95,300
ABX,09:30:00.13,17.94,100
ABX,09:30:00.13,17.94,300
ABX,09:30:00.13,17.94,200
ACI,09:30:00.13,4.43,1494
ABX,09:30:00.13,17.95,700
ABX,09:30:00.13,17.95,900
ABX,09:30:00.13,17.95,200
ABX,09:30:00.13,17.95,100
MT,09:30:00.13,17.61,500
MT,09:30:00.13,17.61,300
QQQ,09:30:00.13,87.55,100
QQQ,09:30:00.13,87.55,100
QQQ,09:30:00.13,87.56,3260
QQQ,09:30:00.13,87.56,140
QQQ,09:30:00.13,87.55,100
QQQ,09:30:00.13,87.55,100
QQQ,09:30:00.13,87.55,1000
QQQ,09:30:00.13,87.55,100
QQQ,09:30:00.13,87.55,2400
QQQ,09:30:00.13,87.55,100
QQQ,09:30:00.13,87.55,200
QQQ,09:30:00.13,87.56,600
QQQ,09:30:00.13,87.56,300
QQQ,09:30:00.13,87.56,100
QQQ,09:30:00.13,87.56,900
QQQ,09:30:00.13,87.56,800
QQQ,09:30:00.13,87.55,100
QQQ,09:30:00.13,87.56,400
QQQ,09:30:00.13,87.56,500
QQQ,09:30:00.13,87.55,146
QQQ,09:30:00.13,87.55,54
QQQ,09:30:00.13,87.55,146
KSU,09:30:00.13,123.4,2
JOY,09:30:00.13,58.02,100
LFL,09:30:00.13,15.94,2
CII,09:30:00.13,13.61,9886
CAB,09:30:00.13,66.64,4282
CCE,09:30:00.13,43.86,15524
BYM,09:30:00.13,12.65,12990
CFC.PR.A,09:30:00.13,24.88,397
CHK,09:30:00.13,27.07,41383
CFC.PR.B,09:30:00.13,25.3,2318
CHE,09:30:00.13,76.88,2561
PRGO,09:30:00.13,152.18,100
PRGO,09:30:00.13,152.23,200
PRGO,09:30:00.13,152.23,100
PRGO,09:30:00.13,152.23,100
PRGO,09:30:00.13,152.23,60
PRGO,09:30:00.13,152.21,100
PAL,09:30:00.13,0.65,3000
PEOP,09:30:00.13,17.67,25
PEOP,09:30:00.13,17.67,25
PGNX,09:30:00.13,5.33,9812
CSCO,09:30:00.13,22.26,100
CSCO,09:30:00.13,22.26,48
CMCSA,09:30:00.13,51.8,100
CTXS,09:30:00.13,63.03,100
CMCSA,09:30:00.13,51.8,44
CSCO,09:30:00.13,22.26,48
BBRY,09:30:00.13,7.45,100
BBRY,09:30:00.13,7.46,3900
BBRY,09:30:00.13,7.46,1000
FOX,09:30:00.13,34.45,185
FFIV,09:30:00.13,90.31,90
PGNX,09:30:00.13,5.33,9812
SMI,09:30:00.13,3.95,500
SPY,09:30:00.13,183.95,200
CINF,09:30:00.13,52.15,20
CHTR,09:30:00.13,137.15,101084
CHTR,09:30:00.13,137.15,101084
CPE,09:30:00.13,6.47,3182
CTZ.PR.A,09:30:00.13,25.24,200
CMO.PR.E,09:30:00.13,22.89,600
CRL,09:30:00.13,52.57,11322
IWM,09:30:00.13,115.09,118
IWM,09:30:00.13,115.09,59
IWM,09:30:00.13,115.08,100
IWM,09:30:00.13,115.09,197
IWM,09:30:00.13,115.09,176
IWM,09:30:00.13,115.09,138
IWM,09:30:00.13,115.08,88
DIS,09:30:00.13,76.04,3
DIS,09:30:00.13,76.04,97
DIS,09:30:00.13,76.03,3
DIS,09:30:00.13,76,79
DIS,09:30:00.13,76.03,97
DIS,09:30:00.13,76.03,3
DIS,09:30:00.13,76.03,97
DIS,09:30:00.13,76,21
QLD,09:30:00.13,98.7,100
QID,09:30:00.13,15.13,700
QID,09:30:00.13,15.13,700
QID,09:30:00.13,15.13,100
QID,09:30:00.13,15.13,300
QID,09:30:00.13,15.13,700
QID,09:30:00.13,15.13,300
QLD,09:30:00.13,98.7,100
QID,09:30:00.13,15.13,1800
QID,09:30:00.13,15.13,600
BIE,09:30:00.13,13.33,104
BHL,09:30:00.13,13.64,494
BGR,09:30:00.13,24.15,3839
BFS,09:30:00.13,47.6,100
BIT,09:30:00.13,17.15,2700
BGG,09:30:00.13,21.62,100
BGG,09:30:00.13,21.74,100
BBT,09:30:00.13,37.11,100
BBT,09:30:00.13,37.11,100
BBT,09:30:00.13,37.18,100
BBT,09:30:00.13,37.16,100
ATVI,09:30:00.13,17.91,100
ATVI,09:30:00.13,17.91,62
ASIA,09:30:00.13,11.94,100
ARRY,09:30:00.13,5.03,199
AME,09:30:00.13,52.43,8506
AZZ,09:30:00.13,48.75,963
ICGE,09:30:00.13,18.49,1395
ICGE,09:30:00.13,18.49,1395
GTIV,09:30:00.13,12.32,4442
GTIV,09:30:00.13,12.32,4442
ICLR,09:30:00.13,40.31,1616
ICLR,09:30:00.13,40.31,1616
HSKA,09:30:00.13,8.78,1379
HSKA,09:30:00.13,8.78,1379
CANF,09:30:00.13,6,200
BTX,09:30:00.13,3.58,7041
BXE,09:30:00.13,7.33,600
CEP,09:30:00.13,2.4,136
BCS,09:30:00.13,18.11,702
BK,09:30:00.13,34.3,100
BQY,09:30:00.13,12.96,1800
BBH,09:30:00.13,87.97,100
EXP,09:30:00.13,77.25,10253
ESS,09:30:00.13,144.42,3
HLF,09:30:00.13,78.65,100
HLF,09:30:00.13,78.65,100
HLF,09:30:00.13,78.75,2
GS,09:30:00.13,177.01,1
HTZ,09:30:00.13,28.51,32
HLF,09:30:00.13,78.7,100
HPQ,09:30:00.13,27.89,100
HLF,09:30:00.13,78.71,100
HSY,09:30:00.13,97.21,3
GTU,09:30:00.13,42.37,100
MU,09:30:00.13,21.68,157
MU,09:30:00.13,21.68,200
MU,09:30:00.13,21.68,500
MU,09:30:00.13,21.68,2043
MU,09:30:00.13,21.68,100
MSBF,09:30:00.13,8.08,100
MSBF,09:30:00.13,8.08,100
MVO,09:30:00.13,23.79,3
ABX,09:30:00.13,17.95,100
AXS.PR.D,09:30:00.13,18.62,278
AU,09:30:00.13,12.13,100
MA,09:30:00.13,839.37,17
MHFI,09:30:00.13,77.38,100
MIL,09:30:00.13,8,200
SU,09:30:00.13,34.91,400
SYY,09:30:00.13,36.9,100
TDC,09:30:00.13,45.33,100
EPI,09:30:00.13,17.09,1162
SPY,09:30:00.13,183.92,100
SPY,09:30:00.13,183.91,20
IWM,09:30:00.13,115.08,200
IWM,09:30:00.13,115.08,202
IWM,09:30:00.13,115.08,148
NVS,09:30:00.13,78.8,200
PRGO,09:30:00.15,152.17,100
PFE,09:30:00.15,30.48,200
GPS,09:30:00.15,39.31,34
X,09:30:00.15,29.98,100
WMB,09:30:00.15,38.38,400
WSFSL,09:30:00.15,25.9,150
WSFSL,09:30:00.15,25.9,150
WRES,09:30:00.15,3.11,4290
WRES,09:30:00.15,3.11,4290
CNX,09:30:00.15,37.84,15013
COT,09:30:00.15,8.02,3859
CSCO,09:30:00.15,22.16,60
CSQ,09:30:00.15,10.86,15525
CTXS,09:30:00.15,63.04,100
CSQ,09:30:00.15,10.86,15525
CTXS,09:30:00.15,63.04,100
CTXS,09:30:00.15,63.04,100
CSCO,09:30:00.15,22.26,300
KFX,09:30:00.15,7.4,28
KFX,09:30:00.15,7.4,28
DGAS,09:30:00.15,22.31,13
DGAS,09:30:00.15,22.31,13
DLNG,09:30:00.15,22.26,1300
DLNG,09:30:00.15,22.26,1300
SLAB,09:30:00.15,43.21,7987
SLAB,09:30:00.15,43.21,7987
DRYS,09:30:00.15,4.38,300
DRYS,09:30:00.15,4.38,1100
DRYS,09:30:00.15,4.38,276
DRYS,09:30:00.15,4.38,7000
EMCI,09:30:00.15,30.37,362
EMCI,09:30:00.15,30.37,362
VIAB,09:30:00.15,86.99,62
VIAB,09:30:00.15,87.42,100
OSUR,09:30:00.15,6.28,4366
OSUR,09:30:00.15,6.28,4366
OMEX,09:30:00.15,2.04,8155
OMEX,09:30:00.15,2.04,8155
NXPI,09:30:00.15,44.7,100
NVDQ,09:30:00.15,16.27,4473
NXPI,09:30:00.15,44.7,100
OSIR,09:30:00.15,16.03,1778
MAT,09:30:00.15,47.57,100
LOPE,09:30:00.15,43.34,1760
LOPE,09:30:00.15,43.34,1760
LPHI,09:30:00.15,1.75,130
LPHI,09:30:00.15,1.75,130
LSI,09:30:00.15,11.01,91
TNDM,09:30:00.15,25.94,4688
TQQQ,09:30:00.15,122.42,100
TQQQ,09:30:00.15,122.43,100
TNDM,09:30:00.15,25.94,4688
TQQQ,09:30:00.15,122.43,100
TQQQ,09:30:00.15,122.43,100
UPI,09:30:00.15,2.76,300
UTX,09:30:00.15,112.9,100
VCI,09:30:00.15,34.2,150
VCI,09:30:00.15,34.2,50
UTX,09:30:00.15,112.89,200
AEZS,09:30:00.15,1.4,35019
AEZS,09:30:00.15,1.4,35019
ACWX,09:30:00.15,46.21,94
XLNX,09:30:00.15,46.679,200
Z,09:30:00.15,82.33,11206
XLNX,09:30:00.15,46.69,33
Z,09:30:00.15,82.33,11206
UBS,09:30:00.15,18.85,100
UBS,09:30:00.15,18.85,100
UBS,09:30:00.15,18.85,100
TRMR,09:30:00.15,5.43,100
DIA,09:30:00.15,164.79,500
TZA,09:30:00.15,17.1,100
TZA,09:30:00.15,17.1,700
TZA,09:30:00.15,17.09,300
TD,09:30:00.15,93.34,2
SWY,09:30:00.15,32.42,100
TCK,09:30:00.15,25.76,100
STM,09:30:00.15,7.89,200
CHKR,09:30:00.15,10.64,4228
CIF,09:30:00.15,2.9,6955
CLNY.PR.A,09:30:00.15,25,300
CBS,09:30:00.15,63.4,60
BTH,09:30:00.15,10.95,100
CIE,09:30:00.15,16.34,100
CAH,09:30:00.15,66.45,22
CAH,09:30:00.15,66.45,99
CAH,09:30:00.15,66.35,50
MCZ,09:30:00.15,0.5299,1000
KGC,09:30:00.15,4.45,100
KWK,09:30:00.15,3.12,1100
KGC,09:30:00.15,4.45,300
KYO,09:30:00.15,49.27,100
KYO,09:30:00.15,49.27,100
JOY,09:30:00.15,58.02,100
LAZ,09:30:00.15,45.14,1
KYO,09:30:00.15,49.37,2
APA,09:30:00.15,85.9,86
IR,09:30:00.15,61.25,1
IOC,09:30:00.15,51.2,2
IOC,09:30:00.15,51.2,96
CAH,09:30:00.15,66.32,49
QQQ,09:30:00.15,87.55,100
ROICU,09:30:00.15,18,46
ROICU,09:30:00.15,18,46
AMAT,09:30:00.15,17.69,101
ANSS,09:30:00.15,86.44,4451
FOSL,09:30:00.15,119.85,100
FSTR,09:30:00.15,47.22,325
FSTR,09:30:00.15,47.22,325
FNLC,09:30:00.15,17.12,1299
FNLC,09:30:00.15,17.12,1299
FB,09:30:00.15,54.83,100
CELG,09:30:00.15,169.27,25
CELG,09:30:00.15,169.3,95
CSCO,09:30:00.15,22.26,48
CSCO,09:30:00.15,22.16,44
CU,09:30:00.15,22.26,2028
CU,09:30:00.15,22.26,2028
ISRG,09:30:00.15,383.41,100
IMI,09:30:00.15,4.92,2000
IMI,09:30:00.15,4.92,2000
UPI,09:30:00.15,2.76,300
UBSI,09:30:00.15,31.57,15148
UBSI,09:30:00.15,31.57,15148
AMZN,09:30:00.15,399.29,7
AMZN,09:30:00.15,399.29,7
AVNW,09:30:00.15,2.26,2066
AVAV,09:30:00.15,29.25,200
AVAV,09:30:00.15,29.25,200
ASIA,09:30:00.15,11.94,100
QID,09:30:00.15,15.13,1000
QLD,09:30:00.15,98.7,200
QID,09:30:00.15,15.13,1300
SRPT,09:30:00.15,20.26,10061
SRPT,09:30:00.15,20.26,10061
SSYS,09:30:00.15,135.07,100
SSYS,09:30:00.15,135.08,100
SSYS,09:30:00.15,134.86,93
IBTX,09:30:00.15,49.42,46
IBTX,09:30:00.15,49.42,46
HERO,09:30:00.15,6.53,100
HERO,09:30:00.15,6.54,300
IART,09:30:00.15,47.49,228
HOTR,09:30:00.15,5.12,5000
IART,09:30:00.15,47.49,228
HOTR,09:30:00.15,5.12,5000
HURC,09:30:00.15,24.89,304
GT,09:30:00.15,23.67,31137
MONT,09:30:00.15,16.66,1470
MNST,09:30:00.15,67.87,100
MONT,09:30:00.15,16.66,1470
RVBD,09:30:00.15,18.05,7279
RVBD,09:30:00.15,18.05,7279
NXPI,09:30:00.15,44.7,200
NPSP,09:30:00.15,29.63,100
NVDQ,09:30:00.15,16.27,4473
OPHC,09:30:00.15,1.48,100
OSIR,09:30:00.15,16.03,1778
OPHC,09:30:00.15,1.48,100
NMRX,09:30:00.15,12.94,126
EQR,09:30:00.15,51.82,100
PEP,09:30:00.15,82.88,1
PCG,09:30:00.15,40.36,100
PBR,09:30:00.15,13.46,100
PBR,09:30:00.15,13.46,100
PBR,09:30:00.15,13.47,700
PCP,09:30:00.15,268.12,3
PBR,09:30:00.15,13.47,300
PRU,09:30:00.15,91.5,100
BCS,09:30:00.15,18.1,200
BCS,09:30:00.15,18.1,100
BK,09:30:00.15,34.33,100
BBT,09:30:00.15,37.1,100
BHP,09:30:00.15,67.31,100
BBT,09:30:00.15,37.11,100
BBT,09:30:00.15,37.16,100
AEM,09:30:00.15,27,100
ALK,09:30:00.15,73.25,100
ADM,09:30:00.15,43.19,100
AET,09:30:00.15,68.12,100
AET,09:30:00.15,68.13,100
MAC,09:30:00.15,58.58,2
LNKD,09:30:00.15,214.02,2
LNKD,09:30:00.15,214.01,98
MAC,09:30:00.15,58.58,98
MCO,09:30:00.15,77.71,200
CPA,09:30:00.15,159.18,94
CNQ,09:30:00.15,33.47,300
CNQ,09:30:00.15,33.47,100
CANF,09:30:00.15,6,1000
EQR,09:30:00.15,51.87,100
DOW,09:30:00.15,44.2,100
DOW,09:30:00.15,44.2,100
EQR,09:30:00.15,51.91,100
DVY,09:30:00.15,71.17,200
EEM,09:30:00.15,41,299
SPY,09:30:00.15,183.94,100
